Academic Year|School Number|School Name|School Level|Elementary Male Enrolment|Elementary Female Enrolment|Secondary Male Enrolment|Secondary Female Enrolment|Total Male Enrolment|Total Female Enrolment
2018-2019|665711|Montessori Jewish Day School|Elementary|45|35|||45|35
2018-2019|668375|Montessori Leaders School|Elementary|<10|<10|||SP|SP
2018-2019|882917|Montessori Learning Centre|Elementary|75|50|||75|50
2018-2019|666708|Montessori School of Elora|Elementary|<10|<10|||SP|SP
2018-2019|666440|Montessori School of Kleinburg|Elementary|85|65|||85|65
2018-2019|669398|Montessori School of Milton Inc|Elementary|15|15|||15|15
2018-2019|877301|Moose Factory Academy|Elementary|20|30|||20|30
2018-2019|888583|Morning Star Christian School|Elem/Sec|10|<10|<10||SP|SP
2018-2019|884227|Mount Salem Christian School|Elementary|85|95|||85|95
2018-2019|882392|Mount Sinai Education|Elem/Sec|20|20|15|<10|35|SP
2018-2019|665100|Mulberry Waldorf School|Elementary|45|30|||45|30
2018-2019|664875|Mundo Peetabeck Academy|Elem/Sec|||30|20|30|20
2018-2019|880043|Muskoka Christian School|Elementary|40|25|||40|25
2018-2019|878537|Muskoka Montessori School|Elementary|30|35|||30|35
2018-2019|667013|NOIC Academy|Secondary|||135|95|135|95
2018-2019|885523|NT Private High School|Secondary|||<10|<10|SP|SP
2018-2019|876623|Nancy Campbell Academy|Secondary|||35|45|35|45
2018-2019|879482|Nanjing-Bond International College|Secondary|||100|105|100|105
2018-2019|884949|National Ski Academy|Secondary|||10|15|10|15
2018-2019|880133|Nature School and Education Centre|Elementary|15|10|||15|10
2018-2019|663824|Nbisiing Secondary School|Secondary|||40|35|40|35
2018-2019|668694|Near North Adventist Christian School|Elementary|<10|15|||SP|15
2018-2019|887269|Ner Israel Yeshiva|Secondary|||105||105|
2018-2019|883239|Netivot Hatorah Day School|Elementary|335|330|||335|330
2018-2019|889172|Neuchâtel Junior College|Secondary|||25|35|25|35
2018-2019|669140|New Arising Christian School|Elementary|20|20|||20|20
2018-2019|876879|New Covenant Church School|Elementary|15|<10|||15|SP
2018-2019|878308|New Haven Learning Centre|Elem/Sec|25|<10|15|<10|40|10
2018-2019|886552|New Hope Baptist School|Elem/Sec||<10|<10|<10|SP|SP
2018-2019|887587|New Jerusalem Parochial|Elementary|20|20|||20|20
2018-2019|880493|Newmarket & District Christian Academy|Elementary|40|30|||40|30
2018-2019|882021|Newmarket Montessori & Christian Academy|Elem/Sec|25|20||<10|25|SP
2018-2019|883695|Newton International College|Secondary|||25|25|25|25
2018-2019|889709|Newton's Grove School|Elem/Sec|115|70|95|45|205|115
2018-2019|878006|Niagara Academy|Secondary|||15|<10|15|SP
2018-2019|665460|Niagara Centre Academy|Elem/Sec|<10|<10|<10|<10|SP|SP
2018-2019|885142|Niagara Christian Collegiate|Secondary|||115|90|115|90
2018-2019|669044|Niagara Christian Collegiate Middle Scho|Elementary|20|20|||20|20
2018-2019|667082|Niagara Falls Collegiate Institute|Secondary|||<10|<10|SP|SP
2018-2019|669644|Nile Academy Blue Haven Campus|Elem/Sec|75|70|40|30|115|105
2018-2019|884643|Nimbus Christian Education|Elem/Sec||<10|<10|<10|SP|SP
2018-2019|669570|No. 1 Chinese School|Elementary|100|75|||100|75
2018-2019|667077|Nobel Academy|Secondary|||<10|<10|SP|SP
2018-2019|880824|Noon Academy|Elementary|40|35|||40|35
2018-2019|668385|Noori Islamic Institute|Elementary|20|20|||20|20
2018-2019|878669|North Hill Private School|Elementary|65|50|||65|50
2018-2019|667285|North Shore Parochial|Elementary|<10|<10|||SP|SP
2018-2019|889008|North Star Christian Day School|Elem/Sec|<10|<10|<10||SP|SP
2018-2019|876895|North Toronto Christian School|Elem/Sec|120|135|60|65|180|195
2018-2019|668014|North Valley Parochial School|Elementary|20|15|||20|15
2018-2019|887641|North Woolwich Parochial School|Elementary|20|10|||20|10
2018-2019|666037|Northern Valley Parochial School|Elementary|10|15|||10|15
2018-2019|875287|Northmount School|Elementary|115||||115|
2018-2019|878022|Northstar Montessori Private School|Elementary|110|95|||110|95
2018-2019|880027|Northumberland Christian School|Elementary|35|35|||35|35
2018-2019|878545|Northumberland Montessori School Inc.|Elementary|10|10|||10|10
2018-2019|666857|Northview Collegiate|Secondary|||<10|<10|SP|SP
2018-2019|668231|Nucleus High School|Secondary|||45|15|45|15
2018-2019|667858|Oak Bridge Academy|Elementary|30|<10|||30|SP
2018-2019|886118|Oak Creek Parochial School|Elementary|<10|<10|||SP|SP
2018-2019|666942|Oak Hill Academy|Elementary|10|10|||10|10
2018-2019|669623|Oak Learners|Elementary|<10|<10|||SP|SP
2018-2019|882240|Oakville Christian School|Elementary|120|110|||120|110
2018-2019|881742|Oakwood Academy|Elementary|35|<10|||35|SP
2018-2019|663972|Ohahase Education Centre|Secondary|||<10|<10|SP|SP
2018-2019|884901|Old Colony Christian Academy|Elem/Sec|130|90|<10|20|SP|110
2018-2019|882733|Old Colony Christian Academy Cottam|Elem/Sec|80|85|<10||SP|85
2018-2019|875236|Old Colony Christian Academy- Kingsville|Elem/Sec|100|85|<10|<10|SP|SP
2018-2019|886795|Olive Grove High School|Elem/Sec|||20|25|20|25
2018-2019|666478|Olive Grove School|Elementary|410|450|||410|450
2018-2019|886807|Olivet School|Elementary|<10|10|||SP|10
2018-2019|666956|OnCourse Education|Secondary|||<10|<10|SP|SP
2018-2019|886298|One Direction Academy|Elem/Sec|||10|<10|10|SP
2018-2019|886540|One Forest|Elementary|10|<10|||10|SP
2018-2019|665209|One World International School|Secondary|||<10|<10|SP|SP
2018-2019|669302|OneSchool Global - Hamilton|Elem/Sec|20|20|20|15|40|35
2018-2019|669276|OneSchool Global - Mossley|Elem/Sec|15|15|10|<10|25|SP
2018-2019|883784|Ontario Academy of International Educati|Secondary|||30|20|30|20
2018-2019|884354|Ontario Academy of Technology (OAT)|Secondary|||10|<10|10|SP
2018-2019|880161|Ontario Hockey Academy|Secondary|||90|60|90|60
2018-2019|889437|Ontario Institute of Technology|Secondary|||<10||SP|
2018-2019|666777|Ontario International College|Secondary|||100|60|100|60
2018-2019|885901|Ontario Muslim Academy|Elementary|45|60|||45|60
2018-2019|887129|Ontario Online Academy|Secondary|||10|<10|10|SP
2018-2019|665804|Ontario Virtual School|Secondary|||710|595|710|595
2018-2019|882694|Ontario eSchool|Secondary|||35|35|35|35
2018-2019|667186|Ontario eSecondary School|Secondary|||<10|<10|SP|SP
2018-2019|665831|OpenMind Alliance Academy|Elementary|25|<10|||25|SP
2018-2019|880248|Or Haemet Sephardic School|Elementary|120|145|||120|145
2018-2019|880744|Orangeville Christian School|Elementary|55|65|||55|65
2018-2019|880442|Orillia Christian School|Elementary|55|25|||55|25
2018-2019|885339|Ottawa Adventist Elementary School|Elementary|25|25|||25|25
2018-2019|887358|Ottawa Christian School|Elementary|110|115|||110|115
2018-2019|884146|Ottawa Islamic School|Elem/Sec|135|125|105|70|240|200
2018-2019|669700|Ottawa Jewish Community School|Elementary|80|90|||80|90
2018-2019|881238|Ottawa Montessori School/Ecole Montessor|Elementary|60|65|||60|65
2018-2019|882259|Ottawa Torah Institute|Secondary|||<10|<10|SP|SP
2018-2019|667913|Ottawa Victory Christian Academy|Elem/Sec|<10|<10|15|<10|SP|15
2018-2019|888788|Otter Lake Christian School|Elem/Sec|20|15|<10|<10|SP|SP
2018-2019|668714|Otter Valley Christian School|Elem/Sec|<10|<10|<10||SP|SP
2018-2019|666359|Our Future Academy|Elementary|20|<10|||20|SP
2018-2019|665195|Our Lady of Mount Carmel Academy|Elem/Sec|20|<10|40||60|SP
2018-2019|881566|Our Lady of the Pillar Academy|Elementary|15|15|||15|15
2018-2019|877689|Our Lady of the Wayside Catholic School|Elem/Sec|10|20|<10|<10|SP|SP
2018-2019|876658|Owen Sound Canadian Reformed School|Elementary|30|25|||30|25
2018-2019|667315|Oxford College of Canada|Secondary|||95|75|95|75
2018-2019|668186|Oxford Learning Academy|Elementary|30|20|||30|20
2018-2019|667985|Oxford Reformed Christian School|Elem/Sec|125|120|55|45|180|165
2018-2019|666343|P.T.Montessori|Elementary|40|25|||40|25
2018-2019|668742|PICC Ummati Elementary School|Elementary|20|45|||20|45
2018-2019|668194|Parkdale Montessori School|Elementary|<10|<10|||SP|SP
2018-2019|886248|Parkside Academy|Elem/Sec|<10|<10|<10|<10|10|SP
2018-2019|888311|Pathfinder Christian School|Elem/Sec|20|20|<10|<10|SP|SP
2018-2019|878880|Pathways Academy & Early Learning Centre|Elementary|25|20|||25|20
2018-2019|889191|Pathways Education Services Inc.|Secondary|||<10|<10|SP|SP
2018-2019|669660|Pathways Educational Services Inc|Secondary|||15|<10|15|SP
2018-2019|878685|Paul Penna Downtown Jewish Day School|Elementary|85|70|||85|70
2018-2019|665848|Peak Centre Academy|Elem/Sec|20|<10|15|<10|35|10
2018-2019|877670|Peel Adventist School|Elementary|55|50|||55|50
2018-2019|875732|Peel Montessori School|Elementary|30|25|||30|25
2018-2019|663700|Pelican Falls First Nations High School|Secondary|||85|80|85|80
2018-2019|665160|Peoples Christian Academy|Elem/Sec|220|205|55|55|280|260
2018-2019|883640|Petre College|Secondary|||<10|<10|SP|SP
2018-2019|878626|Philopateer Christian College|Elem/Sec|90|85|85|70|175|155
2018-2019|665010|Phoenix Montessori School Inc|Elementary|30|35|||30|35
2018-2019|884359|Pickering Christian School|Elementary|105|105|||105|105
2018-2019|885827|Pickering College|Elem/Sec|105|95|110|130|215|225
2018-2019|887324|Pine Mountain|Elementary|<10|<10|||SP|SP
2018-2019|665443|Pine Ridge Amish School|Elementary|<10|<10|||SP|SP
2018-2019|883938|Pinehaven Christian School|Elementary|<10|<10|||SP|SP
2018-2019|888435|Pineview Mennonite School|Elem/Sec|25|20|<10|<10|SP|SP
2018-2019|875228|Plattsville Christian Private Elementary|Elementary|25|20|||25|20
2018-2019|878820|Pleasant View Parochial School|Elem/Sec|25|15|||25|15
2018-2019|883443|Polaris Learning Centre|Secondary||||<10||SP
2018-2019|669974|Polaris School and Centre - A Waldorf In|Elem/Sec|40|25|<10|<10|SP|SP
2018-2019|875406|Poplar Grove Parochial School|Elementary|15|<10|||15|SP
2018-2019|887834|Portlock Parochial School|Elementary|<10|10|||SP|10
2018-2019|884983|Prairie View School|Elementary|<10|<10|||SP|SP
2018-2019|883927|Premium Institute of Excellence|Secondary|||15|10|15|10
2018-2019|665949|Prestige School, The -Richmond Hill|Elem/Sec|20|20|<10|<10|SP|SP
2018-2019|666394|Prestige School, The -Toronto|Elem/Sec|75|65|25|20|100|90
2018-2019|878154|Pretty River Academy|Elem/Sec|20|30|<10|<10|SP|SP
2018-2019|888438|Primary Prep Academy|Elementary|<10|<10|||SP|SP
2018-2019|885415|Princeton Academy of Canada|Secondary|||20|10|20|10
2018-2019|880862|Prosperity Parochial School|Elementary|<10|<10|||SP|SP
2018-2019|668622|Protestant Reformed School in Wingham|Elem/Sec|<10|<10|<10|<10|SP|10
2018-2019|885401|Providence Christian School|Elementary|120|140|||120|140
2018-2019|877999|Providence Reformed Collegiate|Secondary|||45|55|45|55
2018-2019|880915|Pure Degree Mandarin School|Elementary|15|<10|||15|SP
2018-2019|883813|Quantum Academy|Elem/Sec|||<10|<10|SP|SP
2018-2019|882306|Queen Elizabeth Academy|Secondary|||15|<10|15|SP
2018-2019|883508|Queen's Academic School|Secondary|||10|<10|10|SP
2018-2019|666920|Queen's Collegiate|Secondary|||10|15|10|15
2018-2019|883297|Queen's Elite Academy of Canada|Secondary|||20|15|20|15
2018-2019|669065|Queens Gate Academy|Elementary|25|20|||25|20
2018-2019|882297|Queenswood High School|Elem/Sec|||<10|<10|SP|SP
2018-2019|889830|Quinte Christian High School|Secondary|||55|60|55|60
2018-2019|668682|Quintilian Private School of Kingston|Elementary|25||||25|
2018-2019|887765|Red Hill Parochial School|Elementary|15|<10|||15|SP
2018-2019|889067|Redeemer Christian High School|Secondary|||75|75|75|75
2018-2019|880108|Rehoboth Christian School|Elem/Sec|135|120|70|50|205|170
2018-2019|889016|Rehoboth Christian School|Elem/Sec|350|300|120|115|470|415
2018-2019|667185|Resurrection Christian Academy|Elementary|55|35|||55|35
2018-2019|885146|Revel Academy|Elementary|10|<10|||10|SP
2018-2019|880574|Rhema Christian School|Elementary|45|30|||45|30
2018-2019|665754|Richland Academy|Elementary|85|60|||85|60
2018-2019|667056|Richmond Hill Christian Academy|Elem/Sec|190|165|<10|<10|SP|SP
2018-2019|876518|Richmond Hill Montessori Private School|Elementary|305|315|||305|315
2018-2019|886335|Ridley College|Elem/Sec|105|90|265|230|370|320
2018-2019|887603|Riverbend Academy|Elementary|15|10|||15|10
2018-2019|882110|Riverforest Montessori School|Elementary|20|15|||20|15
2018-2019|665725|Riverside Christian Montessori School|Elementary|<10|<10|||SP|SP
2018-2019|880876|Riverside Parochial School|Elementary|20|15|||20|15
2018-2019|666726|Riyadh Alsalehin School|Elem/Sec|215|235|50|60|270|295
2018-2019|887153|Robbins Hebrew Academy|Elementary|200|170|||200|170
2018-2019|880051|Robert Land Academy|Elem/Sec|25||75||100|
2018-2019|887762|Rock Community Christian|Elementary|10|<10|||10|SP
2018-2019|876771|Rock of Help Christian Academy|Elem/Sec|<10|<10|<10|<10|10|SP
2018-2019|885681|Rockway Mennonite Collegiate Inc|Elem/Sec|30|35|110|95|140|130
2018-2019|885879|Rocky Ridge Parochial|Elementary|10|<10|||10|SP
2018-2019|667188|Ronald McDonald House Charities Toronto|Elementary|<10|<10|||SP|SP
2018-2019|882010|Roots Private School|Elementary|20|15|||20|15
2018-2019|668726|Rosedale Academy|Secondary|||105|70|105|70
2018-2019|877085|Rosedale Day School, The|Elementary|85|65|||85|65
2018-2019|887617|Rosseau Lake College Private School|Elem/Sec|<10|<10|45|30|SP|SP
2018-2019|880957|Rotherglen School|Elementary|245|225|||245|225
2018-2019|884950|Rotherglen School - Oakville Elementary|Elem/Sec|270|265|25|20|295|280
2018-2019|668261|Rouge Valley Education Center|Secondary|||80|85|80|85
2018-2019|886530|Rowntree Montessori Schools|Elementary|245|205|||245|205
2018-2019|882744|Royal City Baptist Academy|Elem/Sec|<10|<10||<10|SP|SP
2018-2019|887482|Royal Crown Academic School|Secondary|||245|130|245|130
2018-2019|880996|Royal Imperial Collegiate of Canada|Secondary|||40|15|40|15
2018-2019|885094|Royal Oak Community School|Elementary|20|10|||20|10
2018-2019|887005|Royal St George's College|Elem/Sec|175||275||445|
2018-2019|669152|RoyalCrest Academy|Elem/Sec|45|50|<10||SP|50
2018-2019|665178|Rutherford Private School and Daycare|Elem/Sec|15|10|20|<10|40|SP
2018-2019|668952|SIMRA Academy Private School|Secondary|||20|10|20|10
2018-2019|664813|SNP STEAM Academy|Secondary|||65|30|65|30
2018-2019|887085|Saba's Academy|Elementary|<10|<10|||SP|SP
2018-2019|884856|Safa & Marwa Islamic School|Elementary|100|100|||100|100
2018-2019|668541|Safa & Marwa Islamic School|Elem/Sec|15|10|30|30|45|40
2018-2019|663794|Sakatcheway Anishinabe|Elem/Sec|||20|25|20|25
2018-2019|878170|Salaheddin Islamic School|Elem/Sec|140|135|40|55|180|190
2018-2019|875392|Salem Valley Parochial School|Elementary|20|<10|||20|SP
2018-2019|886146|Sandy Lake Christian School|Elem/Sec|<10|<10|<10||SP|SP
2018-2019|886416|Sarnia Christian School|Elementary|70|75|||70|75
2018-2019|666269|Sarnia Islamic Academy|Elementary|<10|10|||SP|10
2018-2019|665134|Sathya Sai School of Toronto-Canada|Elementary|110|120|||110|120
2018-2019|882644|Saugeen Pines Parochial School|Elementary|15|10|||15|10
2018-2019|884138|Saugeen Riverside Parochial School|Elementary|10|10|||10|10
2018-2019|882216|Scholars' Hall Private School|Elem/Sec|55|45|35|20|90|60
2018-2019|889954|Scriven Christian Academy|Elem/Sec|10|<10|||10|SP
2018-2019|668400|Seerah Mission School|Elementary|<10|10|||SP|10
2018-2019|877328|Seneca Hill Private School|Elem/Sec|40|35|10|<10|55|SP
2018-2019|663743|Seven Generations Secondary School|Secondary|||55|85|55|85
2018-2019|880718|Sevenoaks Academy|Elementary|25|15|||25|15
2018-2019|665708|Sharp Eagles|Secondary|||<10|<10|SP|SP
2018-2019|668566|Sharp Minds Academy|Secondary|||<10|<10|SP|SP
2018-2019|666978|Sharpminds Tutoring Inc.|Secondary|||35|20|35|20
2018-2019|886218|Shekinah Christian School|Elem/Sec|<10|15|<10|<10|10|SP
2018-2019|875643|Sherwood Heights School|Elem/Sec|155|140|15|<10|170|SP
2018-2019|668543|Sherwood Heights School - Mississauga|Elem/Sec|130|110|<10|<10|SP|SP
2018-2019|877190|Shiloh Christian Institute|Elem/Sec|20|<10|<10|<10|SP|SP
2018-2019|882005|Shiloh Christian School|Elem/Sec|20|<10|<10|<10|SP|10
2018-2019|666674|Shiridi Sai School of Canada|Elementary|10|<10|||10|SP
2018-2019|665643|Shmuel Zahavy Cheder Chabad School|Elementary|255|<10|||255|SP
2018-2019|880159|Shoore Academics|Elem/Sec|<10|<10|15|<10|SP|SP
2018-2019|883145|Sidney Ledson Institute - North York|Elementary|25|30|||25|30
2018-2019|889237|Signet Christian Private School|Elem/Sec|10|10|<10||SP|10
2018-2019|876780|Silver Lake Parochial School|Elementary|15|<10|||15|SP
2018-2019|882031|Simcoe Academy|Elem/Sec|<10||10|<10|SP|SP
2018-2019|663786|Simon Jacob Memorial Education Centre|Elem/Sec|||25|25|25|25
2018-2019|665184|Sir Frederick Banting International Scho|Elem/Sec|90|55|45|20|135|75
2018-2019|887773|Smithside Parochial School|Elementary|20|15|||20|15
2018-2019|881066|Smithville District Christian High Schoo|Secondary|||130|120|130|120
2018-2019|669969|Socrates|Secondary|||20|30|20|30
2018-2019|889300|Somerset Academy|Elementary|80|45|||80|45
2018-2019|888588|Songbirds Montessori School|Elementary|<10|<10|||SP|SP
2018-2019|888702|Sonrise Christian Academy|Elementary|20|35|||20|35
2018-2019|883009|South Belmore Parochial School|Elementary|15|20|||15|20
2018-2019|882097|South Bend Parochial School|Elementary|15|10|||15|10
2018-2019|887781|South Heidelberg Parochial School|Elementary|15|15|||15|15
2018-2019|668485|South Point Christian School|Elem/Sec|20|15|<10|<10|SP|SP
2018-2019|665245|South Shore Christian School|Elementary|65|75|||65|75
2018-2019|884978|Southern Ontario Collegiate|Secondary|||60|30|60|30
2018-2019|884405|Spruce Ridge Parochial School|Elementary|10|15|||10|15
2018-2019|878219|Spruce Vale Parochial School|Elementary|10|20|||10|20
2018-2019|885649|St Andrew's College|Elem/Sec|180||470||650|
2018-2019|887013|St Clement's School|Elem/Sec||225|<10|235|SP|460
2018-2019|666564|St George Academy|Secondary|||15|15|15|15
2018-2019|888672|St John's-Kilmarnock School|Elem/Sec|120|115|80|80|200|195
2018-2019|887145|St Michael's College School|Elem/Sec|220||865||1,085|
2018-2019|885932|St Mildred's-Lightbourn School|Elem/Sec||360||215||575
2018-2019|888849|St. Clement's Early Learning|Elementary|40|20|||40|20
2018-2019|882748|St. Helen's Parochial School|Elementary|20|<10|||20|SP
2018-2019|883829|St. Jude's Academy|Elem/Sec|185|165|70|35|255|200
2018-2019|667690|St. Jude's School Inc|Elementary|20|<10|||20|SP
2018-2019|885799|St. Laurent Academy Inc|Elem/Sec|90|50|35|15|125|65
2018-2019|668619|St. Lawrence Academy, The|Elementary|25|25|||25|25
2018-2019|665688|St. Mary Secondary School|Secondary|||<10|<10|SP|SP
2018-2019|875309|St. Peter's A.C.H.S. College School|Elementary|<10||||SP|
2018-2019|886351|St. Thomas Community Christian School|Elementary|80|90|||80|90
2018-2019|878561|St. Thomas of Villanova College School|Elem/Sec|90|75|190|210|280|285
2018-2019|667099|St. Timothy's Classical Academy|Elementary|40|35|||40|35
2018-2019|884819|Stanford Academy|Secondary|||15|<10|15|SP
2018-2019|668877|Star Academy|Elementary|40|15|||40|15
2018-2019|666012|Sterling Education - Rideau Lakes|Elem/Sec|<10|<10|<10|<10|10|SP
2018-2019|884189|Sterling Hall School, The|Elementary|315||||315|
2018-2019|669099|Stirling Montessori Academy Inc|Elementary|<10|<10|||SP|SP
2018-2019|883188|Stirton Parochial School|Elementary|20|20|||20|20
2018-2019|666142|Stone Haven Parochial School|Elementary|<10|<10|||SP|SP
2018-2019|881554|Stouffville Christian School|Elementary|55|45|||55|45
2018-2019|884266|Strata Montessori Adolescent School|Elem/Sec|20|10|<10|<10|SP|SP
2018-2019|889695|Stratford District Christian School|Elementary|65|70|||65|70
2018-2019|889120|Stratford Middle Years School|Elementary|15|15|||15|15
2018-2019|886459|Strathroy Community Christian|Elementary|95|95|||95|95
2018-2019|878464|Streetsville Academy Elementary School|Elementary|15|<10|||15|SP
2018-2019|665755|Study Abroad Online Academy|Secondary|||<10||SP|
2018-2019|667183|SuOn Academy|Secondary|||145|105|145|105
2018-2019|887855|SuOn Academy Queenslea|Secondary|||25|10|25|10
2018-2019|883310|Sudbury Christian Academy|Elementary|25|25|||25|25
2018-2019|665668|Suffah Academy of Learning|Elementary|30|45|||30|45
2018-2019|667840|Summit College - Brantford|Elem/Sec|||10|<10|10|SP
2018-2019|669746|Summit College - Cambridge|Elem/Sec|<10||<10|<10|SP|SP
2018-2019|889704|Summit College - Guelph|Elem/Sec|<10||<10|<10|SP|SP
2018-2019|668482|Summit College - Hamilton|Elem/Sec|||10|<10|10|SP
2018-2019|669487|Summit College - Kitchener|Elem/Sec|<10||<10|<10|SP|SP
2018-2019|668873|Summit College - St. Catharines|Elem/Sec|<10||<10|<10|10|SP
2018-2019|665192|Summit Micro School|Elementary|20|10|||20|10
2018-2019|885658|Sunny Summit|Elementary|<10|<10|||SP|SP
2018-2019|888150|Sunnybrook|Elementary|75|65|||75|65
2018-2019|667501|Sunrise Montessori School|Elementary|85|90|||85|90
2018-2019|884369|Sunshine Montessori School|Elementary|80|85|||80|85
2018-2019|879045|Sunway College (Cdn Pgm)|Secondary|||650|565|650|565
2018-2019|881864|T.E.A.M. School|Elem/Sec|90|50|20|<10|110|SP
2018-2019|878510|TAIE International Institute|Secondary|||175|145|175|145
2018-2019|884892|TBMS-Canada's International School|Elementary|<10|<10|||SP|SP
2018-2019|876313|TFS|Secondary|||30|15|30|15
2018-2019|881756|THINNOX School|Secondary|||15|<10|15|SP
2018-2019|665064|TMS School - Bayview|Elementary|205|220|||205|220
2018-2019|885797|TMS School - Elgin Mills|Elem/Sec|35|45|65|90|100|135
2018-2019|882025|Taddle Creek Montessori School|Elementary|45|45|||45|45
2018-2019|885040|Talenta Academy|Secondary|||70|50|70|50
2018-2019|884081|Tall Pines School|Elementary|175|145|||175|145
2018-2019|666855|Tamarack West Outdoor School|Elementary|15|<10|||15|SP
2018-2019|887170|TanenbaumCHAT Wallenberg Campus|Secondary|||500|460|500|460
2018-2019|666351|Tapply Binet College|Secondary|||<10|<10|SP|SP
2018-2019|668379|Tarbiyah Elementary School|Elementary|65|105|||65|105
2018-2019|669947|Tarbiyah Learning|Elementary|45|50|||45|50
2018-2019|877743|Tawingo College|Elementary|25|15|||25|15
2018-2019|881156|Tayyibah Islamic Academy Inc.|Elem/Sec|<10|20|<10|20|SP|35
2018-2019|666688|Thaler's Amish Parochial School|Elementary|10|15|||10|15
2018-2019|669489|The Ambassadors of God Academy|Elementary|<10|<10|||SP|SP
2018-2019|667064|The Boundless School|Secondary|||15|<10|15|SP
2018-2019|668055|The Clover School|Elementary|35|35|||35|35
2018-2019|885584|The Country Day School|Elem/Sec|230|205|140|200|370|405
2018-2019|888750|The Educators Academy|Secondary|||20|<10|20|SP
2018-2019|886025|The Element|Elem/Sec|15|<10|15|15|30|SP
2018-2019|883442|The Erindale Academy|Secondary|||25|20|25|20
2018-2019|667258|The Laurel School|Elementary|<10|<10|||SP|SP
2018-2019|882978|The London School|Elem/Sec|<10||10|<10|SP|SP
2018-2019|665806|The Maples Independent Country|Elementary|40|40|||40|40
2018-2019|885922|The Nature School|Elementary|<10|<10|||SP|SP
2018-2019|669642|The Orchard Montessori School Ltd. (Elem|Elementary|15|<10|||15|SP
2018-2019|665096|The Oxford School|Elementary|40|25|||40|25
2018-2019|665617|The Sauga High School|Elem/Sec|||<10|<10|SP|SP
2018-2019|889391|The Study|Elementary|50|<10|||50|SP
2018-2019|665121|The Study Academy|Secondary|||25|<10|25|SP
2018-2019|881961|The Toronto French School - Mississauga|Elementary|100|95|||100|95
2018-2019|669039|The Wisdom House of Education|Elementary|<10|<10|||SP|SP
2018-2019|884326|The York School|Elementary|135|125|||135|125
2018-2019|663530|Thomas Fiddler Memorial Private High Sch|Secondary|||50|45|50|45
2018-2019|668829|Thornton Academy|Elem/Sec|<10|<10|<10|<10|SP|SP
2018-2019|668569|Three Bridges Old Colony Christian Schoo|Elementary|40|45|||40|45
2018-2019|877395|Three Fishes Christian Elementary School|Elementary|15|15|||15|15
2018-2019|886203|Thunder Bay Christian School|Elem/Sec|60|55|<10|<10|SP|SP
2018-2019|666181|Tiferes Bais Yaakov High School|Secondary||||100||100
2018-2019|665607|Tillsonburg Christian School|Elementary|60|55|||60|55
2018-2019|886068|Timothy Canadian Reformed School|Elementary|145|140|||145|140
2018-2019|885096|Timothy Christian School|Elementary|115|120|||115|120
2018-2019|889458|Timothy Christian School|Elementary|40|50|||40|50
2018-2019|886831|Timothy Christian School|Elementary|80|70|||80|70
2018-2019|885770|Timothy Christian School|Elementary|35|35|||35|35
2018-2019|882853|Todd Parochial|Elementary|10|10|||10|10
2018-2019|882432|Tollgate Parochial|Elementary|15|15|||15|15
2018-2019|878065|Torah Academy of Ottawa Elementary Schoo|Elementary|45|55|||45|55
2018-2019|668220|Torah High|Secondary|||50|25|50|25
2018-2019|883462|Torah High - Maple|Secondary|||25|10|25|10
2018-2019|886634|Torah High - Thornhill|Secondary|||70|65|70|65
2018-2019|667402|Torah High - Toronto|Secondary|||10|15|10|15
2018-2019|883058|Torah High Ottawa|Secondary|||35|25|35|25
2018-2019|668674|Toronto Berkshire Academy|Secondary|||25|10|25|10
2018-2019|885489|Toronto Central Academy|Secondary|||85|65|85|65
2018-2019|877140|Toronto Cheder, The|Elementary|335||||335|
2018-2019|886777|Toronto District Christian High School|Secondary|||225|175|225|175
2018-2019|886520|Toronto Eschool|Secondary|||15|20|15|20
2018-2019|666718|Toronto French Montessori School|Elementary|25|20|||25|20
2018-2019|887072|Toronto French School|Elem/Sec|395|420|190|235|585|655
2018-2019|877638|Toronto Heschel School, The|Elementary|135|175|||135|175
2018-2019|883858|Toronto Heuristic International Academy|Secondary|||<10|<10|SP|SP
2018-2019|882401|Toronto High School|Secondary|||25|30|25|30
2018-2019|666629|Toronto International Academy|Secondary|||30|15|30|15
2018-2019|889220|Toronto International Academy Oakville|Secondary|||15|15|15|15
2018-2019|665800|Toronto International College|Secondary|||45|20|45|20
2018-2019|669195|Toronto International Collegiate|Secondary|||<10||SP|
2018-2019|668934|Toronto Nobel Academy|Secondary|||25|<10|25|SP
2018-2019|884767|Toronto Prep School|Elem/Sec|45|35|205|130|245|165
2018-2019|665640|Toronto Scholars' Collegiate|Secondary|||<10|<10|SP|SP
2018-2019|887790|Toronto Waldorf School|Elem/Sec|110|105|35|35|140|140
2018-2019|665377|Toronto West Academy|Elem/Sec|120|90|<10|<10|SP|SP
2018-2019|883875|Town Centre Private School - Pre-School|Elementary|405|340|||405|340
2018-2019|666810|Town Centre Private Schools - High Schoo|Secondary|||50|45|50|45
2018-2019|886700|Trafalgar Castle School|Elem/Sec||75||155||230
2018-2019|884483|Trail Ridge Montessori School|Elementary|30|35|||30|35
2018-2019|665231|Trails Youth Initiatives|Secondary|||20|20|20|20
2018-2019|886572|Trenton Christian|Elementary|65|75|||65|75
2018-2019|879380|Trillium International School|Secondary|||<10|<10|SP|SP
2018-2019|875511|Trillium School|Elem/Sec|120|105|15|<10|135|SP
